City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
7,Sao Jose De Piranhas,BR,86.54,overcast clouds,-7.1206,-38.5019,Hotel Pousada São José
17,Chuy,UY,74.46,clear sky,-33.6971,-53.4616,Alerces
20,Sao Felix Do Xingu,BR,70.21,heavy intensity rain,-6.6447,-51.995,Hotel Terraço
21,Mar Del Plata,AR,86.83,overcast clouds,-38.0023,-57.5575,Nuevo Ostende
27,Souillac,MU,76.17,overcast clouds,-20.5167,57.5167,Hotel SkylineInn
28,Port Elizabeth,ZA,76.1,clear sky,-33.918,25.5701,Waterford Hotel
40,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Page 63 hostel
44,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Terra Sur
45,Tocopilla,CL,73.17,few clouds,-22.092,-70.1979,hotel Isidora
46,Sao Filipe,CV,76.86,clear sky,14.8961,-24.4956,Bela Vista
47,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,Le Baril
49,Upington,ZA,89.87,broken clouds,-28.4478,21.2561,Die Eiland Holiday Ressort
60,Wajir,KE,88.23,overcast clouds,1.7471,40.0573,Ngamia Club
64,Vila Velha,BR,73.94,mist,-20.3297,-40.2925,Hotel Prainha
65,Coquimbo,CL,71.33,few clouds,-29.9533,-71.3436,Hotel Iberia
68,Hambantota,LK,75.65,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
69,Veraval,IN,70.11,clear sky,20.9,70.3667,Shyam
70,Inhambane,MZ,74.55,scattered clouds,-23.865,35.3833,Hotel de Inhambane
81,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Central Hôtel
85,Conakry,GN,81.72,broken clouds,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
89,Sambava,MG,78.42,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
93,Diebougou,BF,78.13,overcast clouds,10.9667,-3.25,Relais
95,Morant Bay,JM,85.71,clear sky,17.8815,-76.4093,Morant Villas
98,Praia,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
101,Gonaives,HT,84.04,clear sky,19.45,-72.6833,amiral kilik
102,Cavalcante,BR,71.83,overcast clouds,-13.7975,-47.4583,Pousada Chalés do Lago
112,Luanda,AO,76.39,overcast clouds,-8.8368,13.2343,Hotel Forum
113,Touros,BR,81.19,clear sky,-5.1989,-35.4608,Pousada Atlântico
114,Impfondo,CG,75.25,broken clouds,1.6381,18.0667,Tropicana
115,Caravelas,BR,73.4,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
117,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
129,Hithadhoo,MV,81.36,clear sky,-0.6,73.0833,Pebbles Inn
132,Conchagua,SV,87.44,scattered clouds,13.3078,-87.8647,hotel famropo
136,Aden,YE,77.56,scattered clouds,12.7794,45.0367,فندق قصر الجزيرة
137,Formosa Do Rio Preto,BR,75.99,heavy intensity rain,-11.0483,-45.1931,Pousada Universo - Formosa do Rio Preto BA
142,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Tropic Hotel
145,Gigante,CO,84.27,scattered clouds,2.3868,-75.5453,Hospedaje Claudia
151,Mahebourg,MU,75.25,overcast clouds,-20.4081,57.7,Grand Bel Air
