City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
0,Carnarvon,AU,-24.8667,113.6333,82.98,51,88,11.39,light rain
1,Bredasdorp,ZA,-34.5322,20.0403,66.25,80,73,4.99,broken clouds
2,Kruisfontein,ZA,-34.0033,24.7314,73.89,64,2,14.34,clear sky
3,Ushuaia,AR,-54.8,-68.3,64.06,55,0,5.75,clear sky
4,Busselton,AU,-33.65,115.3333,62.19,73,97,8.68,overcast clouds
5,Jamestown,US,42.097,-79.2353,38.55,62,100,16.11,overcast clouds
6,Gornopravdinsk,RU,60.05,69.9,8.94,87,100,13.87,overcast clouds
7,Sao Jose De Piranhas,BR,-7.1206,-38.5019,86.54,42,87,2.95,overcast clouds
8,Turukhansk,RU,65.8167,87.9833,-12.28,95,100,12.21,overcast clouds
9,Chegem,RU,43.2833,43.1333,5.13,53,0,9.71,clear sky
10,Cape Town,ZA,-33.9258,18.4232,67.12,78,94,5.01,overcast clouds
11,Jalu,LY,29.0331,21.5482,57.58,52,100,4.16,overcast clouds
12,Derzhavinsk,KZ,51.1,66.3167,-1.05,91,87,8.52,overcast clouds
13,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,105.01,15,0,5.79,clear sky
14,Elizabeth City,US,36.2946,-76.2511,62.62,93,100,18.41,light rain
15,Lucapa,AO,-8.4192,20.7447,63.95,98,100,2.71,overcast clouds
16,Vestmannaeyjar,IS,63.4427,-20.2734,29.68,54,57,10.11,broken clouds
17,Chuy,UY,-33.6971,-53.4616,74.46,57,4,15.68,clear sky
18,Longyearbyen,SJ,78.2186,15.6401,21.04,63,75,21.85,broken clouds
19,Leh,IN,34.1667,77.5833,8.37,34,0,1.05,clear sky
20,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.21,99,100,1.9,heavy intensity rain
21,Mar Del Plata,AR,-38.0023,-57.5575,86.83,83,100,32.01,overcast clouds
22,Chateauroux,FR,46.8167,1.7,57.2,94,100,19.57,overcast clouds
23,Jizan,SA,17.3333,42.6667,79.21,70,2,5.64,clear sky
24,Gazanjyk,TM,39.2446,55.5154,35.89,52,17,14.56,few clouds
25,Punta Arenas,CL,-53.15,-70.9167,55.51,71,75,32.21,heavy intensity rain
26,Demba,CD,-5.51,22.2667,66.94,88,100,0.83,overcast clouds
27,Souillac,MU,-20.5167,57.5167,76.17,73,100,6.93,overcast clouds
28,Port Elizabeth,ZA,-33.918,25.5701,76.1,62,1,3.0,clear sky
29,Korla,CN,41.7597,86.1469,22.24,41,8,1.99,clear sky
